date,product_id,category,brand,region,channel,season,base_price,current_price,price_change_pct,discount_pct,promotion_type,units_sold,revenue,inventory_level,stockout_flag,demand_index,unit_cost,competitor_price
2026-02-10,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,10,1735.5,205,0,89.29,98.65,173.99
2026-02-11,P1001,Shoes,Nike,AU,web,Winter,173.55,86.78,-50.0,50,Clearance,16,1388.48,333,0,142.86,99.86,196.04
2026-02-12,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,14,2429.7,288,0,125.0,90.21,172.49
2026-02-13,P1001,Shoes,Nike,AU,app,Winter,173.55,138.84,-20.0,20,Flash Sale,21,2915.64,317,0,187.5,121.36,182.56
2026-02-14,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,10,1735.5,289,0,89.29,74.15,166.51
2026-02-15,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,14,2429.7,198,0,125.0,75.13,186.65
2026-02-16,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,15,2603.25,290,0,133.93,110.66,179.53
2026-02-17,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,11,1909.05,292,0,98.21,72.73,178.12
2026-02-18,P1001,Shoes,Nike,AU,mobile,Winter,173.55,147.52,-15.0,15,Member Offer,17,2507.84,264,0,151.79,121.28,183.24
2026-02-19,P1001,Shoes,Nike,AU,app,Winter,173.55,138.84,-20.0,20,Percentage Discount,17,2360.28,335,0,151.79,119.98,194.75
2026-02-20,P1001,Shoes,Nike,AU,app,Winter,173.55,138.84,-20.0,20,Percentage Discount,18,2499.12,279,0,160.71,70.02,189.89
2026-02-21,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,12,2082.6,165,0,107.14,104.91,183.51
2026-02-22,P1001,Shoes,Nike,AU,app,Winter,173.55,138.84,-20.0,20,Flash Sale,14,1943.76,317,0,125.0,83.31,187.12
2026-02-23,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,12,2082.6,337,0,107.14,75.23,179.96
2026-02-24,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,14,2429.7,315,0,125.0,93.04,197.98
2026-02-25,P1001,Shoes,Nike,AU,app,Winter,173.55,147.52,-15.0,15,Percentage Discount,18,2655.36,210,0,160.71,115.02,174.01
2026-02-26,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,9,1561.95,176,0,80.36,95.48,171.07
2026-02-27,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,15,2603.25,233,0,133.93,116.94,195.09
2026-02-28,P1001,Shoes,Nike,AU,mobile,Winter,173.55,147.52,-15.0,15,Member Offer,18,2655.36,228,0,160.71,84.96,187.05
2026-03-01,P1001,Shoes,Nike,AU,web,Spring,173.55,104.13,-40.0,40,Flash Sale,14,1457.82,191,0,125.0,101.13,170.18
2026-03-02,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,11,1909.05,233,0,98.21,109.12,183.59
2026-03-03,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,15,2603.25,243,0,133.93,109.96,183.28
2026-03-04,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,10,1735.5,295,0,89.29,69.45,176.12
2026-03-05,P1001,Shoes,Nike,AU,web,Spring,173.55,173.55,0.0,0,None,10,1735.5,279,0,89.29,70.43,197.12
2026-03-06,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,15,2603.25,397,0,133.93,115.17,193.74
2026-03-07,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,14,2429.7,145,0,125.0,85.43,166.88
2026-03-08,P1001,Shoes,Nike,AU,web,Spring,173.55,173.55,0.0,0,None,13,2256.15,339,0,116.07,115.13,197.74
2026-03-09,P1001,Shoes,Nike,AU,mobile,Spring,173.55,164.87,-5.0,5,Member Offer,12,1978.44,393,0,107.14,73.88,181.74
2026-03-10,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,10,1735.5,194,0,89.29,73.02,191.27
2026-03-11,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,12,2082.6,257,0,107.14,109.29,169.33
2026-03-12,P1001,Shoes,Nike,AU,mobile,Spring,173.55,138.84,-20.0,20,Percentage Discount,15,2082.6,339,0,133.93,94.17,183.96
2026-03-13,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,13,2256.15,175,0,116.07,83.22,195.15
2026-03-14,P1001,Shoes,Nike,AU,web,Spring,173.55,173.55,0.0,0,None,12,2082.6,187,0,107.14,91.45,172.22
2026-03-15,P1001,Shoes,Nike,AU,mobile,Spring,173.55,147.52,-15.0,15,Member Offer,13,1917.76,149,0,116.07,97.50,190.21
2026-03-16,P1001,Shoes,Nike,AU,web,Spring,173.55,147.52,-15.0,15,Member Offer,10,1475.2,335,0,89.29,79.89,175.69
2026-03-17,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,13,2256.15,254,0,116.07,121.23,187.43
2026-03-18,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,15,2603.25,248,0,133.93,92.23,182.84
2026-03-19,P1001,Shoes,Nike,AU,app,Spring,173.55,138.84,-20.0,20,Flash Sale,6,833.04,206,0,53.57,75.72,172.67
2026-03-20,P1001,Shoes,Nike,AU,mobile,Spring,173.55,104.13,-40.0,40,Clearance,13,1353.69,279,0,116.07,87.02,185.29
2026-03-21,P1001,Shoes,Nike,AU,app,Spring,173.55,86.78,-50.0,50,Clearance,22,1909.16,219,0,196.43,81.40,172.52
2026-03-22,P1001,Shoes,Nike,AU,app,Spring,173.55,112.81,-35.0,35,Buy One Get One,16,1804.96,170,0,142.86,73.12,186.78
2026-03-23,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,13,2256.15,371,0,116.07,81.34,196.30
2026-03-24,P1001,Shoes,Nike,AU,mobile,Spring,173.55,156.2,-10.0,10,Member Offer,14,2186.8,207,0,125.0,114.18,167.33
2026-03-25,P1001,Shoes,Nike,AU,mobile,Spring,173.55,156.2,-10.0,10,Member Offer,15,2343.0,244,0,133.93,81.81,188.09
2026-03-26,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,13,2256.15,252,0,116.07,80.57,169.47
2026-03-27,P1001,Shoes,Nike,AU,app,Spring,173.55,173.55,0.0,0,None,15,2603.25,437,0,133.93,118.13,184.69
2026-03-28,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,14,2429.7,204,0,125.0,94.03,192.11
2026-03-29,P1001,Shoes,Nike,AU,mobile,Spring,173.55,173.55,0.0,0,None,13,2256.15,191,0,116.07,111.46,171.48
2026-03-30,P1001,Shoes,Nike,AU,web,Spring,173.55,173.55,0.0,0,None,13,2256.15,234,0,116.07,74.47,179.83
2026-03-31,P1001,Shoes,Nike,AU,web,Spring,173.55,112.81,-35.0,35,Buy One Get One,13,1466.53,467,0,116.07,91.47,181.08
2026-01-01,P1001,Shoes,Nike,DE,mobile,Winter,173.55,164.87,-5.0,5,Member Offer,10,1648.7,318,0,89.29,107.38,188.24
2026-01-02,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,13,2256.15,263,0,116.07,120.66,168.29
2026-01-03,P1001,Shoes,Nike,DE,web,Winter,173.55,156.2,-10.0,10,Percentage Discount,11,1718.2,407,0,98.21,90.38,176.65
2026-01-04,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,13,2256.15,429,0,116.07,114.28,173.50
2026-01-05,P1001,Shoes,Nike,DE,app,Winter,173.55,164.87,-5.0,5,Member Offer,15,2473.05,323,0,133.93,79.32,180.44
2026-01-06,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,14,2429.7,419,0,125.0,91.39,174.54
2026-01-07,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,10,1735.5,21,0,89.29,82.43,196.92
2026-01-08,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,11,1909.05,439,0,98.21,92.49,194.77
2026-01-09,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,14,2429.7,440,0,125.0,98.07,166.63
2026-01-10,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,15,2603.25,269,0,133.93,121.45,193.89
2026-01-11,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,11,1909.05,201,0,98.21,119.87,197.03
2026-01-12,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,15,2603.25,199,0,133.93,113.61,170.65
2026-01-13,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,12,2082.6,246,0,107.14,94.70,172.29
2026-01-14,P1001,Shoes,Nike,DE,mobile,Winter,173.55,121.48,-30.0,30,Flash Sale,14,1700.72,133,0,125.0,90.30,166.91
2026-01-15,P1001,Shoes,Nike,DE,web,Winter,173.55,156.2,-10.0,10,Member Offer,17,2655.4,434,0,151.79,89.15,199.07
2026-01-16,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,9,1561.95,192,0,80.36,83.23,192.09
2026-01-17,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,11,1909.05,371,0,98.21,93.11,179.56
2026-01-18,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,10,1735.5,252,0,89.29,119.26,199.42
2026-01-19,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,11,1909.05,225,0,98.21,98.36,189.81
2026-01-20,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,16,2776.8,203,0,142.86,77.48,175.17
2026-01-21,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,16,2776.8,146,0,142.86,119.86,184.98
2026-01-22,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,12,2082.6,349,0,107.14,97.65,190.83
2026-01-23,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,10,1735.5,288,0,89.29,72.40,185.15
2026-01-24,P1001,Shoes,Nike,DE,web,Winter,173.55,121.48,-30.0,30,Percentage Discount,13,1579.24,308,0,116.07,95.60,194.47
2026-01-25,P1001,Shoes,Nike,DE,app,Winter,173.55,164.87,-5.0,5,Member Offer,12,1978.44,275,0,107.14,77.62,198.22
2026-01-26,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,315,0,116.07,73.59,171.32
2026-01-27,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,9,1561.95,368,0,80.36,100.40,188.31
2026-01-28,P1001,Shoes,Nike,DE,web,Winter,173.55,164.87,-5.0,5,Member Offer,9,1483.83,307,0,80.36,81.67,169.03
2026-01-29,P1001,Shoes,Nike,DE,app,Winter,173.55,104.13,-40.0,40,Flash Sale,14,1457.82,296,0,125.0,115.77,173.42
2026-01-30,P1001,Shoes,Nike,DE,mobile,Winter,173.55,138.84,-20.0,20,Percentage Discount,19,2637.96,280,0,169.64,100.37,186.37
2026-01-31,P1001,Shoes,Nike,DE,mobile,Winter,173.55,104.13,-40.0,40,Clearance,16,1666.08,257,0,142.86,91.25,185.13
2026-02-01,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,14,2429.7,245,0,125.0,96.64,197.32
2026-02-02,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,12,2082.6,330,0,107.14,80.05,189.73
2026-02-03,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,15,2603.25,216,0,133.93,81.85,178.61
2026-02-04,P1001,Shoes,Nike,DE,mobile,Winter,173.55,121.48,-30.0,30,Flash Sale,16,1943.68,192,0,142.86,104.39,175.29
2026-02-05,P1001,Shoes,Nike,DE,app,Winter,173.55,121.48,-30.0,30,Flash Sale,14,1700.72,405,0,125.0,85.88,190.97
2026-02-06,P1001,Shoes,Nike,DE,app,Winter,173.55,86.78,-50.0,50,Clearance,23,1995.94,229,0,205.36,73.20,180.78
2026-02-07,P1001,Shoes,Nike,DE,mobile,Winter,173.55,156.2,-10.0,10,Percentage Discount,13,2030.6,371,0,116.07,121.40,199.45
2026-02-08,P1001,Shoes,Nike,DE,mobile,Winter,173.55,147.52,-15.0,15,Member Offer,13,1917.76,209,0,116.07,73.23,172.27
2026-02-09,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,9,1561.95,313,0,80.36,83.23,197.27
2026-02-10,P1001,Shoes,Nike,DE,web,Winter,173.55,156.2,-10.0,10,Percentage Discount,11,1718.2,335,0,98.21,115.28,195.39
2026-02-11,P1001,Shoes,Nike,DE,mobile,Winter,173.55,130.16,-25.0,25,Percentage Discount,13,1692.08,303,0,116.07,88.66,170.35
2026-02-12,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,15,2603.25,221,0,133.93,112.83,189.29
2026-02-13,P1001,Shoes,Nike,DE,mobile,Winter,173.55,121.48,-30.0,30,Clearance,17,2065.16,319,0,151.79,101.27,199.14
2026-02-14,P1001,Shoes,Nike,DE,app,Winter,173.55,147.52,-15.0,15,Percentage Discount,17,2507.84,292,0,151.79,103.47,165.14
2026-02-15,P1001,Shoes,Nike,DE,web,Winter,173.55,173.55,0.0,0,None,10,1735.5,173,0,89.29,111.96,175.26
2026-02-16,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,11,1909.05,156,0,98.21,103.96,197.46
2026-02-17,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,17,2950.35,230,0,151.79,76.41,168.88
2026-02-18,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,13,2256.15,241,0,116.07,74.99,184.07
2026-02-19,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,14,2429.7,341,0,125.0,83.60,185.87
2026-02-20,P1001,Shoes,Nike,DE,mobile,Winter,173.55,138.84,-20.0,20,Flash Sale,16,2221.44,219,0,142.86,106.78,171.94
2026-02-21,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,14,2429.7,422,0,125.0,102.44,174.04
2026-02-22,P1001,Shoes,Nike,DE,app,Winter,173.55,173.55,0.0,0,None,8,1388.4,246,0,71.43,94.86,196.30
2026-02-23,P1001,Shoes,Nike,DE,mobile,Winter,173.55,138.84,-20.0,20,Percentage Discount,16,2221.44,188,0,142.86,113.47,168.08
2026-02-24,P1001,Shoes,Nike,DE,mobile,Winter,173.55,138.84,-20.0,20,Percentage Discount,17,2360.28,408,0,151.79,91.47,174.48
2026-02-25,P1001,Shoes,Nike,DE,app,Winter,173.55,86.78,-50.0,50,Clearance,19,1648.82,452,0,169.64,69.60,191.64
2026-02-26,P1001,Shoes,Nike,DE,app,Winter,173.55,121.48,-30.0,30,Flash Sale,10,1214.8,227,0,89.29,102.59,173.96
2026-02-27,P1001,Shoes,Nike,DE,mobile,Winter,173.55,112.81,-35.0,35,Buy One Get One,21,2369.01,332,0,187.5,108.01,184.02
2026-02-28,P1001,Shoes,Nike,DE,mobile,Winter,173.55,173.55,0.0,0,None,12,2082.6,138,0,107.14,91.69,165.21
2026-03-01,P1001,Shoes,Nike,DE,app,Spring,173.55,156.2,-10.0,10,Percentage Discount,14,2186.8,320,0,125.0,73.34,195.53
2026-03-02,P1001,Shoes,Nike,DE,mobile,Spring,173.55,138.84,-20.0,20,Flash Sale,10,1388.4,260,0,89.29,116.48,183.81
2026-03-03,P1001,Shoes,Nike,DE,mobile,Spring,173.55,173.55,0.0,0,None,11,1909.05,238,0,98.21,112.87,185.09
2026-03-04,P1001,Shoes,Nike,DE,mobile,Spring,173.55,104.13,-40.0,40,Clearance,19,1978.47,324,0,169.64,77.13,169.30
2026-03-05,P1001,Shoes,Nike,DE,mobile,Spring,173.55,173.55,0.0,0,None,9,1561.95,273,0,80.36,85.47,196.08
2026-03-06,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,15,2603.25,250,0,133.93,110.87,194.75
2026-03-07,P1001,Shoes,Nike,DE,web,Spring,173.55,156.2,-10.0,10,Member Offer,12,1874.4,266,0,107.14,116.22,172.16
2026-03-08,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,14,2429.7,247,0,125.0,82.41,168.44
2026-03-09,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,11,1909.05,229,0,98.21,110.04,195.56
2026-03-10,P1001,Shoes,Nike,DE,mobile,Spring,173.55,86.78,-50.0,50,Clearance,15,1301.7,89,0,133.93,90.58,186.42
2026-03-11,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,7,1214.85,337,0,62.5,77.47,197.15
2026-03-12,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,12,2082.6,268,0,107.14,114.44,198.76
2026-03-13,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,11,1909.05,205,0,98.21,111.63,195.47
2026-03-14,P1001,Shoes,Nike,DE,app,Spring,173.55,112.81,-35.0,35,Buy One Get One,17,1917.77,495,0,151.79,70.71,190.44
2026-03-15,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,10,1735.5,327,0,89.29,86.72,197.18
2026-03-16,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,9,1561.95,293,0,80.36,111.19,194.86
2026-03-17,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,13,2256.15,268,0,116.07,111.63,174.13
2026-03-18,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,11,1909.05,213,0,98.21,110.41,168.62
2026-03-19,P1001,Shoes,Nike,DE,mobile,Spring,173.55,173.55,0.0,0,None,7,1214.85,138,0,62.5,114.83,194.67
2026-03-20,P1001,Shoes,Nike,DE,mobile,Spring,173.55,121.48,-30.0,30,Clearance,16,1943.68,164,0,142.86,81.00,193.22
2026-03-21,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,14,2429.7,301,0,125.0,93.39,175.47
2026-03-22,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,14,2429.7,311,0,125.0,110.83,172.77
2026-03-23,P1001,Shoes,Nike,DE,app,Spring,173.55,173.55,0.0,0,None,11,1909.05,317,0,98.21,70.65,171.58
2026-03-24,P1001,Shoes,Nike,DE,app,Spring,173.55,156.2,-10.0,10,Percentage Discount,7,1093.4,211,0,62.5,86.51,194.87
2026-03-25,P1001,Shoes,Nike,DE,mobile,Spring,173.55,173.55,0.0,0,None,15,2603.25,223,0,133.93,119.76,174.56
2026-03-26,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,10,1735.5,214,0,89.29,102.82,178.75
2026-03-27,P1001,Shoes,Nike,DE,web,Spring,173.55,86.78,-50.0,50,Clearance,18,1562.04,374,0,160.71,120.50,183.48
2026-03-28,P1001,Shoes,Nike,DE,mobile,Spring,173.55,138.84,-20.0,20,Flash Sale,13,1804.92,331,0,116.07,118.32,168.88
2026-03-29,P1001,Shoes,Nike,DE,web,Spring,173.55,121.48,-30.0,30,Flash Sale,13,1579.24,203,0,116.07,119.94,171.07
2026-03-30,P1001,Shoes,Nike,DE,mobile,Spring,173.55,173.55,0.0,0,None,11,1909.05,251,0,98.21,119.53,174.09
2026-03-31,P1001,Shoes,Nike,DE,web,Spring,173.55,173.55,0.0,0,None,16,2776.8,222,0,142.86,75.06,179.96
2026-01-01,P1001,Shoes,Nike,US,mobile,Winter,173.55,173.55,0.0,0,None,13,2256.15,179,0,116.07,107.35,175.76
2026-01-02,P1001,Shoes,Nike,US,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,376,0,116.07,100.98,182.62
2026-01-03,P1001,Shoes,Nike,US,app,Winter,173.55,121.48,-30.0,30,Flash Sale,15,1822.2,357,0,133.93,89.48,184.89
2026-01-04,P1001,Shoes,Nike,US,app,Winter,173.55,173.55,0.0,0,None,16,2776.8,275,0,142.86,82.68,189.47
2026-01-05,P1001,Shoes,Nike,US,web,Winter,173.55,130.16,-25.0,25,Percentage Discount,15,1952.4,306,0,133.93,69.51,197.00
2026-01-06,P1001,Shoes,Nike,US,mobile,Winter,173.55,104.13,-40.0,40,Flash Sale,14,1457.82,285,0,125.0,97.45,189.84
2026-01-07,P1001,Shoes,Nike,US,web,Winter,173.55,121.48,-30.0,30,Flash Sale,13,1579.24,260,0,116.07,108.05,188.15
2026-01-08,P1001,Shoes,Nike,US,web,Winter,173.55,173.55,0.0,0,None,15,2603.25,527,0,133.93,88.38,167.30
2026-01-09,P1001,Shoes,Nike,US,app,Winter,173.55,173.55,0.0,0,None,12,2082.6,278,0,107.14,104.00,176.33
2026-01-10,P1001,Shoes,Nike,US,mobile,Winter,173.55,112.81,-35.0,35,Buy One Get One,15,1692.15,301,0,133.93,85.76,194.31
2026-01-11,P1001,Shoes,Nike,US,app,Winter,173.55,173.55,0.0,0,None,16,2776.8,221,0,142.86,106.89,175.30
2026-01-12,P1001,Shoes,Nike,US,web,Winter,173.55,156.2,-10.0,10,Percentage Discount,14,2186.8,403,0,125.0,85.52,179.05
2026-01-13,P1001,Shoes,Nike,US,app,Winter,173.55,173.55,0.0,0,None,18,3123.9,222,0,160.71,90.37,175.13
2026-01-14,P1001,Shoes,Nike,US,mobile,Winter,173.55,173.55,0.0,0,None,11,1909.05,267,0,98.21,76.05,179.47
